Sensors in this area:
Sensor1 (lat:44, long:-0.3) ()
Sensor2 (lat:44, long:0.4) ()
Sensor11 (lat:44.4, long:-0.3) ()
Sensor12 (lat:44.4, long:0.4) ()
Sensor66 (lat:46.4, long:3.2) ()
Sensor76 (lat:46.8, long:3.2) ()
Sensor77 (lat:46.8, long:3.9) ()
Sensor86 (lat:47.2, long:3.2) ()
Sensor87 (lat:47.2, long:3.9) ()
Sensor96 (lat:47.6, long:3.2) ()
Sensor97 (lat:47.6, long:3.9) ()
Measures for this area: 
2019-01-10 12:00:00 Sensor1 PM10 40
2019-01-11 12:00:00 Sensor1 O3 30.33
2019-01-11 12:00:00 Sensor1 NO2 20.67
2019-01-11 12:00:00 Sensor1 SO2 51
2019-01-11 12:00:00 Sensor1 PM10 31.17
2019-01-12 12:00:00 Sensor1 O3 31.83
2019-01-12 12:00:00 Sensor1 NO2 83.54
2019-01-12 12:00:00 Sensor1 SO2 66.29
2019-01-12 12:00:00 Sensor1 PM10 43.96
2019-01-13 12:00:00 Sensor1 O3 59.29
2019-01-13 12:00:00 Sensor1 NO2 45.58
2019-01-13 12:00:00 Sensor1 SO2 23.88
2019-01-13 12:00:00 Sensor1 PM10 65.58
2019-01-14 12:00:00 Sensor1 O3 60.42
2019-01-14 12:00:00 Sensor1 NO2 48.58
2019-01-14 12:00:00 Sensor1 SO2 55.79
2019-01-14 12:00:00 Sensor1 PM10 49.83
2019-01-15 12:00:00 Sensor1 O3 63.33
2019-01-15 12:00:00 Sensor1 NO2 62.29
2019-01-15 12:00:00 Sensor1 SO2 49.46
2019-01-15 12:00:00 Sensor1 PM10 41.12
2019-01-16 12:00:00 Sensor1 O3 54.17
2019-01-16 12:00:00 Sensor1 NO2 66.96
2019-01-16 12:00:00 Sensor1 SO2 49.29
2019-01-16 12:00:00 Sensor1 PM10 60.75
2019-01-17 12:00:00 Sensor1 O3 60.25
2019-01-17 12:00:00 Sensor1 NO2 41.38
2019-01-17 12:00:00 Sensor1 SO2 39.21
2019-01-17 12:00:00 Sensor1 PM10 67.92
2019-01-18 12:00:00 Sensor1 O3 55.54
2019-01-18 12:00:00 Sensor1 NO2 30.38
2019-01-18 12:00:00 Sensor1 SO2 48.25
2019-01-18 12:00:00 Sensor1 PM10 49.67
2019-01-19 12:00:00 Sensor1 O3 52.58
2019-01-19 12:00:00 Sensor1 NO2 30.04
2019-01-19 12:00:00 Sensor1 SO2 62.29
2019-01-19 12:00:00 Sensor1 PM10 54.42
2019-01-20 12:00:00 Sensor1 O3 69.46
2019-01-20 12:00:00 Sensor1 NO2 43.92
2019-01-20 12:00:00 Sensor1 SO2 66.21
2019-01-20 12:00:00 Sensor1 PM10 74.58
2019-01-21 12:00:00 Sensor1 O3 41.46
2019-01-21 12:00:00 Sensor1 NO2 45.25
2019-01-21 12:00:00 Sensor1 SO2 59.12
2019-01-21 12:00:00 Sensor1 PM10 22.17
2019-01-22 12:00:00 Sensor1 O3 47.5
2019-01-22 12:00:00 Sensor1 NO2 45.38
2019-01-22 12:00:00 Sensor1 SO2 47.33
2019-01-22 12:00:00 Sensor1 PM10 26.88
2019-01-23 12:00:00 Sensor1 O3 49.92
2019-01-23 12:00:00 Sensor1 NO2 46.25
2019-01-23 12:00:00 Sensor1 SO2 53.08
2019-01-23 12:00:00 Sensor1 PM10 38.75
2019-01-24 12:00:00 Sensor1 O3 55.12
2019-01-24 12:00:00 Sensor1 NO2 43.54
2019-01-24 12:00:00 Sensor1 SO2 70.25
2019-01-24 12:00:00 Sensor1 PM10 65.71
2019-01-25 12:00:00 Sensor1 O3 19
2019-01-25 12:00:00 Sensor1 NO2 46.21
2019-01-25 12:00:00 Sensor1 SO2 29.33
2019-01-25 12:00:00 Sensor1 PM10 48.92
2019-01-26 12:00:00 Sensor1 O3 62.33
2019-01-26 12:00:00 Sensor1 NO2 39.62
2019-01-26 12:00:00 Sensor1 SO2 33.79
2019-01-26 12:00:00 Sensor1 PM10 54.67
2019-01-27 12:00:00 Sensor1 O3 35.33
2019-01-27 12:00:00 Sensor1 NO2 48.08
2019-01-27 12:00:00 Sensor1 SO2 34.79
2019-01-27 12:00:00 Sensor1 PM10 49.25
2019-01-28 12:00:00 Sensor1 O3 57.12
2019-01-28 12:00:00 Sensor1 NO2 66.96
2019-01-28 12:00:00 Sensor1 SO2 55.25
2019-01-28 12:00:00 Sensor1 PM10 59.25
2019-01-29 12:00:00 Sensor1 O3 21.71
2019-01-29 12:00:00 Sensor1 NO2 54.21
2019-01-29 12:00:00 Sensor1 SO2 63.67
2019-01-29 12:00:00 Sensor1 PM10 39.33
2019-01-30 12:00:00 Sensor1 O3 47.67
2019-01-30 12:00:00 Sensor1 NO2 37.92
2019-01-30 12:00:00 Sensor1 SO2 43.29
2019-01-30 12:00:00 Sensor1 PM10 32.12
2019-01-31 12:00:00 Sensor1 O3 37.21
2019-01-31 12:00:00 Sensor1 NO2 52.79
2019-01-31 12:00:00 Sensor1 SO2 61
2019-01-31 12:00:00 Sensor1 PM10 82.08
2019-02-01 12:00:00 Sensor1 O3 63.21
2019-02-01 12:00:00 Sensor1 NO2 49.62
2019-02-01 12:00:00 Sensor1 SO2 43.29
2019-02-01 12:00:00 Sensor1 PM10 32.42
2019-02-02 12:00:00 Sensor1 O3 42.08
2019-02-02 12:00:00 Sensor1 NO2 82.83
2019-02-02 12:00:00 Sensor1 SO2 50.54
2019-02-02 12:00:00 Sensor1 PM10 47.67
2019-02-03 12:00:00 Sensor1 O3 45.21
2019-02-03 12:00:00 Sensor1 NO2 49.71
2019-02-03 12:00:00 Sensor1 SO2 41.71
2019-02-03 12:00:00 Sensor1 PM10 70.42
2019-02-04 12:00:00 Sensor1 O3 40.83
2019-02-04 12:00:00 Sensor1 NO2 81.33
2019-02-04 12:00:00 Sensor1 SO2 62.08
2019-02-04 12:00:00 Sensor1 PM10 31.21
2019-02-05 12:00:00 Sensor1 O3 43.25
2019-02-05 12:00:00 Sensor1 NO2 26.04
2019-02-05 12:00:00 Sensor1 SO2 39.75
2019-02-05 12:00:00 Sensor1 PM10 60.04
2019-02-06 12:00:00 Sensor1 O3 64.96
2019-02-06 12:00:00 Sensor1 NO2 56.88
2019-02-06 12:00:00 Sensor1 SO2 52.88
2019-02-06 12:00:00 Sensor1 PM10 24.83
2019-02-07 12:00:00 Sensor1 O3 64.79
2019-02-07 12:00:00 Sensor1 NO2 41.25
2019-02-07 12:00:00 Sensor1 SO2 25.04
2019-02-07 12:00:00 Sensor1 PM10 54.88
2019-02-08 12:00:00 Sensor1 O3 61
2019-02-08 12:00:00 Sensor1 NO2 60.38
2019-02-08 12:00:00 Sensor1 SO2 61.75
2019-02-08 12:00:00 Sensor1 PM10 44.46
2019-02-09 12:00:00 Sensor1 O3 57.79
2019-02-09 12:00:00 Sensor1 NO2 50.12
2019-02-09 12:00:00 Sensor1 SO2 44.67
2019-02-09 12:00:00 Sensor1 PM10 52.54
2019-02-10 12:00:00 Sensor1 O3 63.5
2019-02-10 12:00:00 Sensor1 NO2 51.88
2019-02-10 12:00:00 Sensor1 SO2 31.83
2019-02-10 12:00:00 Sensor1 PM10 78.67
2019-02-11 12:00:00 Sensor1 O3 40.12
2019-02-11 12:00:00 Sensor1 NO2 51.46
2019-02-11 12:00:00 Sensor1 SO2 40.92
2019-02-11 12:00:00 Sensor1 PM10 37.5
2019-02-12 12:00:00 Sensor1 O3 44.54
2019-02-12 12:00:00 Sensor1 NO2 52.08
2019-02-12 12:00:00 Sensor1 SO2 66.38
2019-02-12 12:00:00 Sensor1 PM10 61.96
2019-02-13 12:00:00 Sensor1 O3 82.71
2019-02-13 12:00:00 Sensor1 NO2 58.42
2019-02-13 12:00:00 Sensor1 SO2 27.75
2019-02-13 12:00:00 Sensor1 PM10 61.79
2019-02-14 12:00:00 Sensor1 O3 25.42
2019-02-14 12:00:00 Sensor1 NO2 44.42
2019-02-14 12:00:00 Sensor1 SO2 41
2019-02-14 12:00:00 Sensor1 PM10 45.67
2019-02-15 12:00:00 Sensor1 O3 52.17
2019-02-15 12:00:00 Sensor1 NO2 67.79
2019-02-15 12:00:00 Sensor1 SO2 34
2019-02-15 12:00:00 Sensor1 PM10 40.67
2019-02-16 12:00:00 Sensor1 O3 37.96
2019-02-16 12:00:00 Sensor1 NO2 69.5
2019-02-16 12:00:00 Sensor1 SO2 77.67
2019-02-16 12:00:00 Sensor1 PM10 59.42
2019-02-17 12:00:00 Sensor1 O3 42.38
2019-02-17 12:00:00 Sensor1 NO2 32.79
2019-02-17 12:00:00 Sensor1 SO2 55.75
2019-02-17 12:00:00 Sensor1 PM10 47.79
2019-02-18 12:00:00 Sensor1 O3 61.83
2019-02-18 12:00:00 Sensor1 NO2 42.79
2019-02-18 12:00:00 Sensor1 SO2 52.17
2019-02-18 12:00:00 Sensor1 PM10 53.67
2019-02-19 12:00:00 Sensor1 O3 64.67
2019-02-19 12:00:00 Sensor1 NO2 58.04
2019-02-19 12:00:00 Sensor1 SO2 47.17
2019-02-19 12:00:00 Sensor1 PM10 25.08
2019-02-20 12:00:00 Sensor1 O3 48.21
2019-02-20 12:00:00 Sensor1 NO2 69.75
2019-02-20 12:00:00 Sensor1 SO2 75.08
2019-02-20 12:00:00 Sensor1 PM10 44.54
2019-02-21 12:00:00 Sensor1 O3 72.08
2019-02-21 12:00:00 Sensor1 NO2 45.58
2019-02-21 12:00:00 Sensor1 SO2 45.71
2019-02-21 12:00:00 Sensor1 PM10 58
2019-02-22 12:00:00 Sensor1 O3 49.42
2019-02-22 12:00:00 Sensor1 NO2 59.88
2019-02-22 12:00:00 Sensor1 SO2 43.04
2019-02-22 12:00:00 Sensor1 PM10 44.21
2019-02-23 12:00:00 Sensor1 O3 65.12
2019-02-23 12:00:00 Sensor1 NO2 43.12
2019-02-23 12:00:00 Sensor1 SO2 43.12
2019-02-23 12:00:00 Sensor1 PM10 63.67
2019-02-24 12:00:00 Sensor1 O3 49.92
2019-02-24 12:00:00 Sensor1 NO2 55.46
2019-02-24 12:00:00 Sensor1 SO2 52.83
2019-02-24 12:00:00 Sensor1 PM10 72.38
2019-02-25 12:00:00 Sensor1 O3 49.79
2019-02-25 12:00:00 Sensor1 NO2 47.54
2019-02-25 12:00:00 Sensor1 SO2 48
2019-02-25 12:00:00 Sensor1 PM10 43
2019-02-26 12:00:00 Sensor1 O3 57.67
2019-02-26 12:00:00 Sensor1 NO2 50.58
2019-02-26 12:00:00 Sensor1 SO2 42.62
2019-02-26 12:00:00 Sensor1 PM10 26.08
2019-02-27 12:00:00 Sensor1 O3 42.62
2019-02-27 12:00:00 Sensor1 NO2 43.88
2019-02-27 12:00:00 Sensor1 SO2 46.71
2019-02-27 12:00:00 Sensor1 PM10 62.79
2019-02-28 12:00:00 Sensor1 O3 36.17
2019-02-28 12:00:00 Sensor1 NO2 40.46
2019-02-28 12:00:00 Sensor1 SO2 62.42
2019-02-28 12:00:00 Sensor1 PM10 42.33
2019-03-01 12:00:00 Sensor1 O3 27.79
2019-03-01 12:00:00 Sensor1 NO2 66.62
2019-03-01 12:00:00 Sensor1 SO2 70.62
2019-03-01 12:00:00 Sensor1 PM10 54.71
2019-03-02 12:00:00 Sensor1 O3 59.54
2019-03-02 12:00:00 Sensor1 NO2 66.17
2019-03-02 12:00:00 Sensor1 SO2 26.92
2019-03-02 12:00:00 Sensor1 PM10 48.5
2019-03-03 12:00:00 Sensor1 O3 43.54
2019-03-03 12:00:00 Sensor1 NO2 32.29
2019-03-03 12:00:00 Sensor1 SO2 47.42
2019-03-03 12:00:00 Sensor1 PM10 53.21
2019-03-04 12:00:00 Sensor1 O3 51.58
2019-03-04 12:00:00 Sensor1 NO2 55.96
2019-03-04 12:00:00 Sensor1 SO2 55.96
2019-03-04 12:00:00 Sensor1 PM10 65.46
2019-03-05 12:00:00 Sensor1 O3 35.29
2019-03-05 12:00:00 Sensor1 NO2 41.17
2019-03-05 12:00:00 Sensor1 SO2 35.5
2019-03-05 12:00:00 Sensor1 PM10 49.96
2019-03-06 12:00:00 Sensor1 O3 34.96
2019-03-06 12:00:00 Sensor1 NO2 37.71
2019-03-06 12:00:00 Sensor1 SO2 49.46
2019-03-06 12:00:00 Sensor1 PM10 55.46
2019-03-07 12:00:00 Sensor1 O3 42.5
2019-03-07 12:00:00 Sensor1 NO2 64.29
2019-03-07 12:00:00 Sensor1 SO2 54.62
2019-03-07 12:00:00 Sensor1 PM10 35.83
2019-03-08 12:00:00 Sensor1 O3 36.21
2019-03-08 12:00:00 Sensor1 NO2 37.25
2019-03-08 12:00:00 Sensor1 SO2 45.38
2019-03-08 12:00:00 Sensor1 PM10 55.04
2019-03-09 12:00:00 Sensor1 O3 72.08
2019-03-09 12:00:00 Sensor1 NO2 37.17
2019-03-09 12:00:00 Sensor1 SO2 47
2019-03-09 12:00:00 Sensor1 PM10 61.71
2019-03-10 12:00:00 Sensor1 O3 59.46
2019-03-10 12:00:00 Sensor1 NO2 36.33
2019-03-10 12:00:00 Sensor1 SO2 54.88
2019-03-10 12:00:00 Sensor1 PM10 40.38
2019-03-11 12:00:00 Sensor1 O3 40.08
2019-03-11 12:00:00 Sensor1 NO2 63.79
2019-03-11 12:00:00 Sensor1 SO2 38.79
2019-03-11 12:00:00 Sensor1 PM10 35.96
2019-03-12 12:00:00 Sensor1 O3 55.29
2019-03-12 12:00:00 Sensor1 NO2 57.33
2019-03-12 12:00:00 Sensor1 SO2 30.42
2019-03-12 12:00:00 Sensor1 PM10 62.96
2019-03-13 12:00:00 Sensor1 O3 56.62
2019-03-13 12:00:00 Sensor1 NO2 55.79
2019-03-13 12:00:00 Sensor1 SO2 53.92
2019-03-13 12:00:00 Sensor1 PM10 57
2019-03-14 12:00:00 Sensor1 O3 45.29
2019-03-14 12:00:00 Sensor1 NO2 63.25
2019-03-14 12:00:00 Sensor1 SO2 55.67
2019-03-14 12:00:00 Sensor1 PM10 39.46
2019-03-15 12:00:00 Sensor1 O3 51.5
2019-03-15 12:00:00 Sensor1 NO2 42.67
2019-03-15 12:00:00 Sensor1 SO2 36
2019-03-15 12:00:00 Sensor1 PM10 49.92
2019-03-16 12:00:00 Sensor1 O3 67.54
2019-03-16 12:00:00 Sensor1 NO2 75.58
2019-03-16 12:00:00 Sensor1 SO2 65.04
2019-03-16 12:00:00 Sensor1 PM10 59.71
2019-03-17 12:00:00 Sensor1 O3 44
2019-03-17 12:00:00 Sensor1 NO2 51.04
2019-03-17 12:00:00 Sensor1 SO2 60.21
2019-03-17 12:00:00 Sensor1 PM10 41.08
2019-03-18 12:00:00 Sensor1 O3 22.38
2019-03-18 12:00:00 Sensor1 NO2 37.46
2019-03-18 12:00:00 Sensor1 SO2 39.92
2019-03-18 12:00:00 Sensor1 PM10 40.67
2019-03-19 12:00:00 Sensor1 O3 61.08
2019-03-19 12:00:00 Sensor1 NO2 48.79
2019-03-19 12:00:00 Sensor1 SO2 33.79
2019-03-19 12:00:00 Sensor1 PM10 60.58
2019-03-20 12:00:00 Sensor1 O3 54.75
2019-03-20 12:00:00 Sensor1 NO2 68.96
2019-03-20 12:00:00 Sensor1 SO2 36.08
2019-03-20 12:00:00 Sensor1 PM10 36.92
2019-03-21 12:00:00 Sensor1 O3 46.42
2019-03-21 12:00:00 Sensor1 NO2 66.83
2019-03-21 12:00:00 Sensor1 SO2 46.38
2019-03-21 12:00:00 Sensor1 PM10 30.29
2019-03-22 12:00:00 Sensor1 O3 42.5
2019-03-22 12:00:00 Sensor1 NO2 22.46
2019-03-22 12:00:00 Sensor1 SO2 58
2019-03-22 12:00:00 Sensor1 PM10 82.54
2019-03-23 12:00:00 Sensor1 O3 56.17
2019-03-23 12:00:00 Sensor1 NO2 59.38
2019-03-23 12:00:00 Sensor1 SO2 41.54
2019-03-23 12:00:00 Sensor1 PM10 37.83
2019-03-24 12:00:00 Sensor1 O3 58.83
2019-03-24 12:00:00 Sensor1 NO2 42.21
2019-03-24 12:00:00 Sensor1 SO2 35.75
2019-03-24 12:00:00 Sensor1 PM10 51
2019-03-25 12:00:00 Sensor1 O3 51.12
2019-03-25 12:00:00 Sensor1 NO2 39.25
2019-03-25 12:00:00 Sensor1 SO2 53.38
2019-03-25 12:00:00 Sensor1 PM10 67.5
2019-03-26 12:00:00 Sensor1 O3 33.04
2019-03-26 12:00:00 Sensor1 NO2 50.92
2019-03-26 12:00:00 Sensor1 SO2 35.83
2019-03-26 12:00:00 Sensor1 PM10 42.33
2019-03-27 12:00:00 Sensor1 O3 64.62
2019-03-27 12:00:00 Sensor1 NO2 56.12
2019-03-27 12:00:00 Sensor1 SO2 71.38
2019-03-27 12:00:00 Sensor1 PM10 48.62
2019-03-28 12:00:00 Sensor1 O3 52.96
2019-03-28 12:00:00 Sensor1 NO2 32.46
2019-03-28 12:00:00 Sensor1 SO2 57.67
2019-03-28 12:00:00 Sensor1 PM10 47.71
2019-03-29 12:00:00 Sensor1 O3 37.33
2019-03-29 12:00:00 Sensor1 NO2 43.54
2019-03-29 12:00:00 Sensor1 SO2 34
2019-03-29 12:00:00 Sensor1 PM10 33.71
2019-03-30 12:00:00 Sensor1 O3 39.29
2019-03-30 12:00:00 Sensor1 NO2 45.62
2019-03-30 12:00:00 Sensor1 SO2 54.33
2019-03-30 12:00:00 Sensor1 PM10 45.38
2019-03-31 12:00:00 Sensor1 O3 46
2019-03-31 12:00:00 Sensor1 NO2 54.04
2019-03-31 12:00:00 Sensor1 SO2 31.33
2019-03-31 12:00:00 Sensor1 PM10 59.92
2019-04-01 12:00:00 Sensor1 O3 44.21
2019-04-01 12:00:00 Sensor1 NO2 43.12
2019-04-01 12:00:00 Sensor1 SO2 61.08
2019-04-01 12:00:00 Sensor1 PM10 66.79
2019-04-02 12:00:00 Sensor1 O3 70.88
2019-04-02 12:00:00 Sensor1 NO2 33.71
2019-04-02 12:00:00 Sensor1 SO2 56.83
2019-04-02 12:00:00 Sensor1 PM10 44.04
2019-04-03 12:00:00 Sensor1 O3 44.29
2019-04-03 12:00:00 Sensor1 NO2 37.29
2019-04-03 12:00:00 Sensor1 SO2 55.88
2019-04-03 12:00:00 Sensor1 PM10 47.96
2019-04-04 12:00:00 Sensor1 O3 38.75
2019-04-04 12:00:00 Sensor1 NO2 58.04
2019-04-04 12:00:00 Sensor1 SO2 55.38
2019-04-04 12:00:00 Sensor1 PM10 37.42
2019-04-05 12:00:00 Sensor1 O3 48
2019-04-05 12:00:00 Sensor1 NO2 47.71
2019-04-05 12:00:00 Sensor1 SO2 54.71
2019-04-05 12:00:00 Sensor1 PM10 39.79
2019-04-06 12:00:00 Sensor1 O3 57.83
2019-04-06 12:00:00 Sensor1 NO2 53.88
2019-04-06 12:00:00 Sensor1 SO2 38.71
2019-04-06 12:00:00 Sensor1 PM10 45
2019-04-07 12:00:00 Sensor1 O3 49.67
2019-04-07 12:00:00 Sensor1 NO2 33.21
2019-04-07 12:00:00 Sensor1 SO2 40.42
2019-04-07 12:00:00 Sensor1 PM10 36.42
2019-04-08 12:00:00 Sensor1 O3 52.5
2019-04-08 12:00:00 Sensor1 NO2 52.46
2019-04-08 12:00:00 Sensor1 SO2 39.33
2019-04-08 12:00:00 Sensor1 PM10 44.67
2019-04-09 12:00:00 Sensor1 O3 46.21
2019-04-09 12:00:00 Sensor1 NO2 58.96
2019-04-09 12:00:00 Sensor1 SO2 66.21
2019-04-09 12:00:00 Sensor1 PM10 57.54
2019-04-10 12:00:00 Sensor1 O3 58.96
2019-04-10 12:00:00 Sensor1 NO2 31.83
2019-04-10 12:00:00 Sensor1 SO2 64.33
2019-04-10 12:00:00 Sensor1 PM10 44.75
2019-04-11 12:00:00 Sensor1 O3 45.21
2019-04-11 12:00:00 Sensor1 NO2 27.92
2019-04-11 12:00:00 Sensor1 SO2 53.08
2019-04-11 12:00:00 Sensor1 PM10 35.04
2019-04-12 12:00:00 Sensor1 O3 46.54
2019-04-12 12:00:00 Sensor1 NO2 48.83
2019-04-12 12:00:00 Sensor1 SO2 54.17
2019-04-12 12:00:00 Sensor1 PM10 54.08
2019-04-13 12:00:00 Sensor1 O3 42.04
2019-04-13 12:00:00 Sensor1 NO2 50.21
2019-04-13 12:00:00 Sensor1 SO2 33.42
2019-04-13 12:00:00 Sensor1 PM10 51.5
2019-04-14 12:00:00 Sensor1 O3 66.92
2019-04-14 12:00:00 Sensor1 NO2 60.79
2019-04-14 12:00:00 Sensor1 SO2 43.42
2019-04-14 12:00:00 Sensor1 PM10 33.33
2019-04-15 12:00:00 Sensor1 O3 44.92
2019-04-15 12:00:00 Sensor1 NO2 35.92
2019-04-15 12:00:00 Sensor1 SO2 72.54
2019-04-15 12:00:00 Sensor1 PM10 50.21
2019-04-16 12:00:00 Sensor1 O3 59.83
2019-04-16 12:00:00 Sensor1 NO2 29.04
2019-04-16 12:00:00 Sensor1 SO2 59.12
2019-04-16 12:00:00 Sensor1 PM10 70.17
2019-04-17 12:00:00 Sensor1 O3 60.62
2019-04-17 12:00:00 Sensor1 NO2 52.29
2019-04-17 12:00:00 Sensor1 SO2 28.71
2019-04-17 12:00:00 Sensor1 PM10 55.54
2019-04-18 12:00:00 Sensor1 O3 57.25
2019-04-18 12:00:00 Sensor1 NO2 57.17
2019-04-18 12:00:00 Sensor1 SO2 58.58
2019-04-18 12:00:00 Sensor1 PM10 68.54
2019-04-19 12:00:00 Sensor1 O3 43.67
2019-04-19 12:00:00 Sensor1 NO2 41.88
2019-04-19 12:00:00 Sensor1 SO2 61.96
2019-04-19 12:00:00 Sensor1 PM10 41.21
2019-04-20 12:00:00 Sensor1 O3 37.62
2019-04-20 12:00:00 Sensor1 NO2 42.38
2019-04-20 12:00:00 Sensor1 SO2 48
2019-04-20 12:00:00 Sensor1 PM10 68.79
2019-04-21 12:00:00 Sensor1 O3 60.5
2019-04-21 12:00:00 Sensor1 NO2 49.96
2019-04-21 12:00:00 Sensor1 SO2 47.83
2019-04-21 12:00:00 Sensor1 PM10 36.92
2019-04-22 12:00:00 Sensor1 O3 64.29
2019-04-22 12:00:00 Sensor1 NO2 55.54
2019-04-22 12:00:00 Sensor1 SO2 62.67
2019-04-22 12:00:00 Sensor1 PM10 27.58
2019-04-23 12:00:00 Sensor1 O3 46.79
2019-04-23 12:00:00 Sensor1 NO2 29.29
2019-04-23 12:00:00 Sensor1 SO2 46.25
2019-04-23 12:00:00 Sensor1 PM10 46.83
2019-04-24 12:00:00 Sensor1 O3 70.08
2019-04-24 12:00:00 Sensor1 NO2 41.54
2019-04-24 12:00:00 Sensor1 SO2 61.08
2019-04-24 12:00:00 Sensor1 PM10 38.12
2019-04-25 12:00:00 Sensor1 O3 33.29
2019-04-25 12:00:00 Sensor1 NO2 76.92
2019-04-25 12:00:00 Sensor1 SO2 61.71
2019-04-25 12:00:00 Sensor1 PM10 48.29
2019-04-26 12:00:00 Sensor1 O3 56.21
2019-04-26 12:00:00 Sensor1 NO2 42.38
2019-04-26 12:00:00 Sensor1 SO2 42.17
2019-04-26 12:00:00 Sensor1 PM10 53.83
2019-04-27 12:00:00 Sensor1 O3 79.54
2019-04-27 12:00:00 Sensor1 NO2 54.67
2019-04-27 12:00:00 Sensor1 SO2 70.83
2019-04-27 12:00:00 Sensor1 PM10 59.17
2019-04-28 12:00:00 Sensor1 O3 70.83
2019-04-28 12:00:00 Sensor1 NO2 54.71
2019-04-28 12:00:00 Sensor1 SO2 51.46
2019-04-28 12:00:00 Sensor1 PM10 50.08
2019-04-29 12:00:00 Sensor1 O3 39.54
2019-04-29 12:00:00 Sensor1 NO2 41.92
2019-04-29 12:00:00 Sensor1 SO2 57.92
2019-04-29 12:00:00 Sensor1 PM10 44.17
2019-04-30 12:00:00 Sensor1 O3 62.54
2019-04-30 12:00:00 Sensor1 NO2 34.33
2019-04-30 12:00:00 Sensor1 SO2 41.17
2019-04-30 12:00:00 Sensor1 PM10 64.62
2019-05-01 12:00:00 Sensor1 O3 51.29
2019-05-01 12:00:00 Sensor1 NO2 18.12
2019-05-01 12:00:00 Sensor1 SO2 49.25
2019-05-01 12:00:00 Sensor1 PM10 53.88
2019-05-02 12:00:00 Sensor1 O3 32.62
2019-05-02 12:00:00 Sensor1 NO2 60.17
2019-05-02 12:00:00 Sensor1 SO2 50.75
2019-05-02 12:00:00 Sensor1 PM10 57.88
2019-05-03 12:00:00 Sensor1 O3 60.46
2019-05-03 12:00:00 Sensor1 NO2 46.38
2019-05-03 12:00:00 Sensor1 SO2 35.67
2019-05-03 12:00:00 Sensor1 PM10 34.42
2019-05-04 12:00:00 Sensor1 O3 77.58
2019-05-04 12:00:00 Sensor1 NO2 50.12
2019-05-04 12:00:00 Sensor1 SO2 66.25
2019-05-04 12:00:00 Sensor1 PM10 48.04
2019-05-05 12:00:00 Sensor1 O3 60.5
2019-05-05 12:00:00 Sensor1 NO2 33.75
2019-05-05 12:00:00 Sensor1 SO2 46.62
2019-05-05 12:00:00 Sensor1 PM10 55.83
2019-05-06 12:00:00 Sensor1 O3 62
2019-05-06 12:00:00 Sensor1 NO2 63.71
2019-05-06 12:00:00 Sensor1 SO2 59.92
2019-05-06 12:00:00 Sensor1 PM10 37.33
